graph,trial_number,trial_type,start,start_node,move,move_direction,cue,cue_node,operator,direction,probe1,probe2,target_node,target,lure,correct,lure_distance,experiment_condition,block,instruction_text,sub_block
practice,1,practice_prediction,,,,,stim/practice1.jpg,node_1,Melp,south,stim/practice3.jpg,stim/practice2.jpg,node_3,stim/practice3.jpg,node_2,left,,,,,
practice,2,practice_prediction,,,,,stim/practice3.jpg,node_3,Brinz,east,stim/practice2.jpg,stim/practice4.jpg,node_4,stim/practice4.jpg,node_2,right,,,,,
practice,3,practice_prediction,,,,,stim/practice4.jpg,node_4,Wosp,north,stim/practice1.jpg,stim/practice2.jpg,node_2,stim/practice2.jpg,node_1,right,,,,,
practice,4,practice_prediction,,,,,stim/practice2.jpg,node_2,Troid,west,stim/practice1.jpg,stim/practice3.jpg,node_1,stim/practice1.jpg,node_3,left,,,,,
practice,1,practice_prediction,,,,,stim/practice1.jpg,node_1,Brinz,east,stim/practice2.jpg,stim/practice3.jpg,node_2,stim/practice2.jpg,node_3,left,,,,,
practice,2,practice_prediction,,,,,stim/practice2.jpg,node_2,Melp,south,stim/practice4.jpg,stim/practice1.jpg,node_4,stim/practice4.jpg,node_1,left,,,,,
practice,3,practice_prediction,,,,,stim/practice4.jpg,node_4,Troid,west,stim/practice2.jpg,stim/practice3.jpg,node_3,stim/practice3.jpg,node_2,right,,,,,
practice,4,practice_prediction,,,,,stim/practice3.jpg,node_3,Wosp,north,stim/practice1.jpg,stim/practice2.jpg,node_1,stim/practice1.jpg,node_2,left,,,,,
practice,1,practice_integration,stim/practice1.jpg,node_1,Brinz,east,stim/practice2.jpg,node_2,Melp,south,stim/practice4.jpg,stim/practice3.jpg,node_3,stim/practice4.jpg,node_4,left,,,,,
practice,2,practice_integration,stim/practice4.jpg,node_3,Troid,west,stim/practice3.jpg,node_4,Wosp,north,stim/practice1.jpg,stim/practice2.jpg,node_1,stim/practice1.jpg,node_2,left,,,,,
practice,3,practice_integration,stim/practice2.jpg,node_2,Melp,south,stim/practice4.jpg,node_3,Troid,west,stim/practice1.jpg,stim/practice3.jpg,node_1,stim/practice3.jpg,node_4,right,,,,,
practice,4,practice_integration,stim/practice3.jpg,node_4,Wosp,north,stim/practice1.jpg,node_1,Brinz,east,stim/practice2.jpg,stim/practice4.jpg,node_2,stim/practice2.jpg,node_3,left,,,,,
practice,5,practice_integration,stim/practice2.jpg,node_2,Troid,west,stim/practice1.jpg,node_1,Melp,south,stim/practice4.jpg,stim/practice3.jpg,node_4,stim/practice3.jpg,node_3,right,,,,,
practice,6,practice_integration,stim/practice3.jpg,node_4,Brinz,east,stim/practice4.jpg,node_3,Wosp,north,stim/practice1.jpg,stim/practice2.jpg,node_2,stim/practice2.jpg,node_1,right,,,,,
practice,7,practice_integration,stim/practice4.jpg,node_3,Troid,west,stim/practice3.jpg,node_4,Wosp,north,stim/practice4.jpg,stim/practice1.jpg,node_1,stim/practice1.jpg,node_4,right,,,,,
practice,8,practice_integration,stim/practice1.jpg,node_1,Brinz,east,stim/practice2.jpg,node_2,Melp,south,stim/practice4.jpg,stim/practice3.jpg,node_3,stim/practice4.jpg,node_4,left,,,,,
graph_1,0,instruction,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,associative_learning,1,"The practice is complete. 

You will now see new objects and new relationships to learn. 

Try your best to learn each relationship.",1.0
graph_1,1,prediction,n/a,n/a,n/a,n/a,stim/disco ball_a.png,node_5,Kleeg,west,stim/paper lantern_b.png,stim/hedge shears_a.png,node_4,stim/paper lantern_b.png,node_6,left,2.0,associative_learning,1,,1.0
graph_1,2,prediction,n/a,n/a,n/a,n/a,stim/paper lantern_b.png,node_4,Shog,north,stim/gravy boat_a.png,stim/disco ball_a.png,node_1,stim/gravy boat_a.png,node_5,left,2.0,associative_learning,1,,1.0
graph_1,3,prediction,n/a,n/a,n/a,n/a,stim/gravy boat_a.png,node_1,Datton,east,stim/binder_a.png,stim/paper lantern_b.png,node_2,stim/binder_a.png,node_4,left,2.0,associative_learning,1,,1.0
graph_1,4,prediction,n/a,n/a,n/a,n/a,stim/binder_a.png,node_2,Kleeg,west,stim/gravy boat_a.png,stim/pool table_b.png,node_1,stim/gravy boat_a.png,node_3,left,1.0,associative_learning,1,,1.0
graph_1,5,prediction,n/a,n/a,n/a,n/a,stim/gravy boat_a.png,node_1,Reto,south,stim/paper lantern_b.png,stim/binder_a.png,node_4,stim/paper lantern_b.png,node_2,left,1.0,associative_learning,1,,1.0
graph_1,6,prediction,n/a,n/a,n/a,n/a,stim/paper lantern_b.png,node_4,Datton,east,stim/gravy boat_a.png,stim/disco ball_a.png,node_5,stim/disco ball_a.png,node_1,right,1.0,associative_learning,1,,1.0
graph_1,7,prediction,n/a,n/a,n/a,n/a,stim/disco ball_a.png,node_5,Datton,east,stim/hedge shears_a.png,stim/binder_a.png,node_6,stim/hedge shears_a.png,node_2,left,2.0,associative_learning,1,,1.0
graph_1,8,prediction,n/a,n/a,n/a,n/a,stim/hedge shears_a.png,node_6,Kleeg,west,stim/disco ball_a.png,stim/pool table_b.png,node_5,stim/disco ball_a.png,node_3,left,3.0,associative_learning,1,,1.0
graph_1,9,prediction,n/a,n/a,n/a,n/a,stim/disco ball_a.png,node_5,Datton,east,stim/gravy boat_a.png,stim/hedge shears_a.png,node_6,stim/hedge shears_a.png,node_1,right,2.0,associative_learning,1,,1.0
graph_1,10,prediction,n/a,n/a,n/a,n/a,stim/hedge shears_a.png,node_6,Kleeg,west,stim/disco ball_a.png,stim/paper lantern_b.png,node_5,stim/disco ball_a.png,node_4,left,2.0,associative_learning,1,,1.0
